year,capex,opex,total infra,environmental restoration,non fatal,fatal,total safety,total cost
0,0.0,302814.7926774179,302814.7926774179,0,0.0,0.0,0.0,302814.7926774179
1,135223.36952102,317955.53231128876,453178.901832309,0,93151.51320167496,35137.83208789122,128289.34528956615,581468.2471218748
2,0.0,333853.3089268527,333853.3089268527,0,93151.51320167496,35137.83208789122,128289.34528956615,462142.6542164189
3,46045.95383417018,350545.9743731952,396591.9282073655,0,93151.51320167496,35137.83208789122,128289.34528956615,524881.273496932
4,0.0,368073.27309185563,368073.27309185563,0,93151.51320167496,35137.83208789122,128289.34528956615,496362.6183814218
5,429111.9288328106,386476.9367464482,815588.8655792599,0,93151.51320167496,35137.83208789122,128289.34528956615,943878.2108688249
6,504606.3961881189,405800.78358377056,910407.1797718894,0,93151.51320167496,35137.83208789122,128289.34528956615,1038696.5250614557
7,0.0,426090.8227629593,426090.8227629593,0,93151.51320167496,35137.83208789122,128289.34528956615,554380.168052526
8,331844.63779381244,447395.3639011068,779240.0016949207,0,93151.51320167496,35137.83208789122,128289.34528956615,907529.3469844864
9,268119.9453585182,469765.1320961624,737885.0774546806,0,93151.51320167496,35137.83208789122,128289.34528956615,866174.4227442463
10,1459028.547702795,493253.38870097016,1952281.936403763,0,93151.51320167496,35137.83208789122,128289.34528956615,2080571.281693331
11,794730.1116064393,517916.058136019,1312646.1697424587,0,93151.51320167496,35137.83208789122,128289.34528956615,1440935.5150320253
12,1089200.6372355558,543811.8610428197,1633012.498278375,0,93151.51320167496,35137.83208789122,128289.34528956615,1761301.8435679404
13,870182.3313904225,571002.4540949609,1441184.785485385,0,93151.51320167496,35137.83208789122,128289.34528956615,1569474.1307749501
14,1033615.1035875613,599552.5767997087,1633167.6803872713,0,93151.51320167496,35137.83208789122,128289.34528956615,1761457.025676836
15,747926.6465317374,629530.2056396944,1377456.8521714301,0,93151.51320167496,35137.83208789122,128289.34528956615,1505746.197460999
16,965256.655617394,661006.7159216797,1626263.3715390717,0,93151.51320167496,35137.83208789122,128289.34528956615,1754552.7168286408
17,1708284.0466214905,694057.0517177627,2402341.0983392526,0,93151.51320167496,35137.83208789122,128289.34528956615,2530630.443628821
18,1407481.2627444947,728759.904303652,2136241.167048147,0,93151.51320167496,35137.83208789122,128289.34528956615,2264530.5123377107
19,2230871.0836599004,765197.8995188341,2996068.983178732,0,93151.51320167496,35137.83208789122,128289.34528956615,3124358.3284682995
20,2010884.5115835504,803457.7944947756,2814342.3060783236,0,93151.51320167496,35137.83208789122,128289.34528956615,2942631.651367894
21,2233925.5914962413,843630.684219515,3077556.275715755,0,93151.51320167496,35137.83208789122,128289.34528956615,3205845.6210053214
22,1638701.408161907,885812.2184304914,2524513.626592396,0,93151.51320167496,35137.83208789122,128289.34528956615,2652802.971881964
23,1546108.6934202106,930102.8293520147,2476211.522772228,0,93151.51320167496,35137.83208789122,128289.34528956615,2604500.8680617935
24,2887652.356470266,976607.9708196147,3864260.3272898784,0,93151.51320167496,35137.83208789122,128289.34528956615,3992549.672579448
25,2555297.292450777,1025438.3693605972,3580735.6618113737,0,93151.51320167496,35137.83208789122,128289.34528956615,3709025.007100935
26,1789992.0594667655,1076710.2878286259,2866702.3472953932,0,93151.51320167496,35137.83208789122,128289.34528956615,2994991.6925849603
27,3382923.004651851,1130545.8022200577,4513468.806871909,0,93151.51320167496,35137.83208789122,128289.34528956615,4641758.152161473
28,2588727.7180578536,1187073.0923310583,3775800.8103889115,0,93151.51320167496,35137.83208789122,128289.34528956615,3904090.155678478
29,2087916.3705020808,1246426.7469476135,3334343.1174496952,0,93151.51320167496,35137.83208789122,128289.34528956615,3462632.462739261
30,1880535.7732363543,1308748.0842949932,3189283.8575313524,0,93151.51320167496,35137.83208789122,128289.34528956615,3317573.2028209125
31,1000659.1782661963,1374185.4885097444,2374844.66677594,0,93151.51320167496,35137.83208789122,128289.34528956615,2503134.0120655037
32,310740.7348461752,1442894.7629352289,1753635.4977814031,0,93151.51320167496,35137.83208789122,128289.34528956615,1881924.8430709722
33,878355.8881808664,1515039.5010819917,2393395.3892628625,0,93151.51320167496,35137.83208789122,128289.34528956615,2521684.7345524216
34,545351.6376105022,1590791.4761360914,2136143.1137465923,0,93151.51320167496,35137.83208789122,128289.34528956615,2264432.4590361565
35,948405.9935207417,1670331.0499428962,2618737.043463637,0,93151.51320167496,35137.83208789122,128289.34528956615,2747026.388753203
36,724316.6146939776,1753847.6024400403,2478164.2171340184,0,93151.51320167496,35137.83208789122,128289.34528956615,2606453.562423584
37,511990.52663247613,1841539.9825620444,2353530.5091945175,0,93151.51320167496,35137.83208789122,128289.34528956615,2481819.8544840827
38,916041.9276979804,1933616.9816901449,2849658.909388123,0,93151.51320167496,35137.83208789122,128289.34528956615,2977948.254677695
39,1137828.7254427734,2030297.8307746525,3168126.556217423,0,93151.51320167496,35137.83208789122,128289.34528956615,3296415.9015069916
